Event,Description,Pre-Event Vol (Ann.),Post-Event Vol (Ann.),Baseline CY2024 Vol (Ann.),Pre/Baseline Ratio,Post/Baseline Ratio,Post/Pre Ratio
2025-04-02,Liberation Day reciprocal tariffs announced,46.6%,113.0%,34.2%,1.36,3.31,2.43
2025-04-09,Tariffs on Chinese goods raised to 145%,66.1%,44.6%,34.2%,1.93,1.31,0.68
2025-04-15,China delivery ban & 125% retaliatory tariff,112.6%,33.5%,34.2%,3.3,0.98,0.3
2025-05-15,Trade truce: Ban lifted (Mid-May),19.5%,22.5%,34.2%,0.57,0.66,1.15
2025-10-12,Trump 100% rare earth tariff & BA parts threat,34.0%,17.4%,34.2%,0.99,0.51,0.51
2025-10-27,Boeing-China $37B order deal at summit (Late Oct),17.4%,39.8%,34.2%,0.51,1.16,2.29
