Event,Description,Benchmark,Estimation Window,Event Window,CAR,T-Stat,Sig
2025-10-10,Trump 100% rare earth tariff & BA parts threat,ITA,static_2024,"[-1,+3]",-0.03%,-0.01, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,ITA,static_2024,"[-1,+5]",0.84%,0.17, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,ITA,static_2024,"[-5,+10]",0.87%,0.12, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,ITA,rolling_250d,"[-1,+3]",-1.21%,-0.29, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,ITA,rolling_250d,"[-1,+5]",-0.78%,-0.16, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,ITA,rolling_250d,"[-5,+10]",-1.99%,-0.27, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,^GSPC,static_2024,"[-1,+3]",-3.34%,-0.71, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,^GSPC,static_2024,"[-1,+5]",-3.41%,-0.62, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,^GSPC,static_2024,"[-5,+10]",4.03%,0.48, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,^GSPC,rolling_250d,"[-1,+3]",-3.97%,-0.92, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,^GSPC,rolling_250d,"[-1,+5]",-4.51%,-0.88, 
2025-10-10,Trump 100% rare earth tariff & BA parts threat,^GSPC,rolling_250d,"[-5,+10]",-0.70%,-0.09, 
2025-10-30,Busan Summit: US-China tariff & rare earth truce,ITA,static_2024,"[-1,+3]",-7.57%,-1.86,*
2025-10-30,Busan Summit: US-China tariff & rare earth truce,ITA,static_2024,"[-1,+5]",-5.67%,-1.17, 
2025-10-30,Busan Summit: US-China tariff & rare earth truce,ITA,static_2024,"[-5,+10]",-4.26%,-0.58, 
2025-10-30,Busan Summit: US-China tariff & rare earth truce,ITA,rolling_250d,"[-1,+3]",-8.84%,-2.15,**
2025-10-30,Busan Summit: US-China tariff & rare earth truce,ITA,rolling_250d,"[-1,+5]",-7.54%,-1.55, 
2025-10-30,Busan Summit: US-China tariff & rare earth truce,ITA,rolling_250d,"[-5,+10]",-7.70%,-1.05, 
2025-10-30,Busan Summit: US-China tariff & rare earth truce,^GSPC,static_2024,"[-1,+3]",-9.63%,-2.06,**
2025-10-30,Busan Summit: US-China tariff & rare earth truce,^GSPC,static_2024,"[-1,+5]",-9.57%,-1.73,*
2025-10-30,Busan Summit: US-China tariff & rare earth truce,^GSPC,static_2024,"[-5,+10]",-7.92%,-0.95, 
2025-10-30,Busan Summit: US-China tariff & rare earth truce,^GSPC,rolling_250d,"[-1,+3]",-10.07%,-2.35,**
2025-10-30,Busan Summit: US-China tariff & rare earth truce,^GSPC,rolling_250d,"[-1,+5]",-10.16%,-2.0,**
2025-10-30,Busan Summit: US-China tariff & rare earth truce,^GSPC,rolling_250d,"[-5,+10]",-12.27%,-1.6, 
